Player,Pos,Team,Opp,DK Proj,FD Proj,FFPC Proj,Standard Proj,Half PPR Proj,Full PPR Proj,DK Ceiling,FD Ceiling,Slate
Julian Hill,TE,MIA,@NYJ,2.1,1.6,2.6,1.2,1.6,2.1,5.9,4.7,Main
Sean Tucker,RB,TB,NO,2.1,2,2,1.9,2,2,13.1,12.9,Main
John Bates,TE,WAS,@MIN,2.1,1.6,2.6,1.2,1.6,2.1,5.9,4.8,Main
Charlie Kolar,TE,BAL,PIT,2,1.7,2.4,1.3,1.7,2,6.2,5.3,Main
Olamide Zaccheaus,WR,CHI,@GB,2,1.5,2,1.1,1.5,1.9,5.7,4.7,Main
Nick Westbrook-Ikhine,WR,MIA,@NYJ,2,1.6,2,1.2,1.6,2,6.2,5.3,Main
Allen Lazard,WR,NYJ,MIA,2,1.6,2,1.2,1.6,2,6.7,5.7,Main
Ray Davis,RB,BUF,CIN,1.9,1.8,1.9,1.6,1.8,1.9,6.1,5.8,Main
Tanner Hudson,TE,CIN,@BUF,1.9,1.5,2.2,1.1,1.5,1.9,5.6,4.7,Main
Tyquan Thornton,WR,KC,HOU,1.9,1.7,1.9,1.4,1.6,1.9,6.7,6,Sunday
Jared Wiley,TE,KC,HOU,1.8,1.5,2.2,1.1,1.5,1.8,5.6,4.6,Sunday
Raheem Mostert,RB,LV,DEN,1.8,1.5,1.8,1.3,1.5,1.8,5.4,4.8,Main
Josh Oliver,TE,MIN,WAS,1.8,1.4,2.1,1,1.4,1.8,5.3,4.4,Main
Luke Schoonmaker,TE,DAL,@DET,1.7,1.3,2,1,1.3,1.7,5.2,4.3,Thursday
Mo Alie-Cox,TE,IND,@JAX,1.7,1.3,2,1,1.3,1.6,5.3,4.5,Main
Johnny Mundt,TE,JAX,IND,1.7,1.3,2,0.9,1.3,1.7,5.1,4.2,Main
Adam Thielen,WR,PIT,@BAL,1.7,1.4,1.7,1,1.4,1.7,5.4,4.6,Main
Jaylen Wright,RB,MIA,@NYJ,1.6,1.6,1.6,1.6,1.6,1.6,5.1,5,Main
Tank Bigsby,RB,PHI,@LAC,1.6,1.5,1.6,1.5,1.5,1.6,6.7,6.6,Monday
Hunter Luepke,RB,DAL,@DET,1.5,1.2,1.5,0.8,1.2,1.5,5,4.1,Thursday
John FitzPatrick,TE,GB,CHI,1.5,1.2,1.8,0.9,1.2,1.5,4.8,4,Main
Ameer Abdullah,RB,IND,@JAX,1.5,1.3,1.5,1.1,1.3,1.5,5,4.5,Main
LeQuint Allen,RB,JAX,IND,1.5,1.2,1.5,1,1.2,1.5,4.8,4.1,Main
Jaylin Lane,WR,WAS,@MIN,1.5,1.2,1.4,1,1.2,1.4,7,6.1,Main
Charlie Woerner,TE,ATL,SEA,1.4,1,1.7,0.7,1,1.4,4.3,3.5,Main
Adam Prentice,RB,DEN,@LV,1.4,1.1,1.4,0.8,1.1,1.4,4.6,3.9,Main
Will Shipley,RB,PHI,@LAC,1.4,1.1,1.4,0.9,1.1,1.4,4.9,4.3,Monday
Malachi Corley,WR,CLE,TEN,1.3,1.1,1.3,1,1.1,1.3,4.3,3.8,Main
James Proche,WR,TEN,@CLE,1.3,1,1.3,0.8,1,1.3,3.3,2.7,Main
Deven Thompkins,WR,ATL,SEA,1.2,0.9,1.2,0.7,0.9,1.2,4,3.4,Main
Cedrick Wilson,WR,MIA,@NYJ,1.2,1,1.2,0.8,1,1.2,4.3,3.6,Main
Devontez Walker,WR,BAL,PIT,1.1,0.9,1.1,0.7,0.9,1.1,4.2,3.6,Main
